,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000017324,36,32,95,120
ENSGACG00000017326,3135,2350,4641,5129
ENSGACG00000017330,299,186,389,378
ENSGACG00000017332,4825,6365,12176,10830
ENSGACG00000017334,3498,3174,4238,5813
ENSGACG00000017346,1258,1148,1452,1797
ENSGACG00000017349,1370,1043,3455,2947
ENSGACG00000017351,135,148,264,294
ENSGACG00000017353,247,283,482,732
ENSGACG00000017357,2566,2650,5400,4985
ENSGACG00000017362,6,2,18,9
ENSGACG00000017367,828,726,1015,1127
ENSGACG00000017372,44,33,58,41
ENSGACG00000017379,4453,5036,5008,9173
ENSGACG00000017410,239,235,480,475
ENSGACG00000017411,1091,881,1775,1770
ENSGACG00000017415,6729,6487,12690,14864
ENSGACG00000017418,22,18,28,42
ENSGACG00000017424,16,14,35,40
ENSGACG00000017428,533,356,548,715
ENSGACG00000017430,5971,5335,9855,8180
ENSGACG00000017434,4175,3957,6223,6332
ENSGACG00000017435,3306,3142,6311,6756
ENSGACG00000017440,56992,57767,114308,98104
ENSGACG00000022795,81,53,67,85
ENSGACG00000017441,7531,5520,10537,10799
ENSGACG00000017457,1165,885,1585,1599
ENSGACG00000017461,670,617,1158,1276
ENSGACG00000017463,804,812,1545,1920
ENSGACG00000017466,1282,1383,2405,2270
ENSGACG00000017467,105,41,206,111
ENSGACG00000017470,4,0,4,9
ENSGACG00000017478,821,466,1878,1764
ENSGACG00000017482,62310,62902,118689,99133
ENSGACG00000017483,6988,5807,13339,10535
ENSGACG00000017485,1112,844,1306,1670
ENSGACG00000017486,374,302,459,509
ENSGACG00000017489,283,139,324,368
ENSGACG00000017493,3126,2863,5349,5140
ENSGACG00000017497,1461,1322,2425,4477
ENSGACG00000017504,1033,811,1923,2099
ENSGACG00000017509,0,0,0,0
ENSGACG00000017510,274,63,282,381
ENSGACG00000017515,885,586,409,3
ENSGACG00000022671,0,0,0,0
ENSGACG00000017518,6,1,15,10
ENSGACG00000017521,1094,564,1185,1322
ENSGACG00000017524,88,86,80,221
ENSGACG00000017526,16,13,21,51
ENSGACG00000017530,13,2,6,2
ENSGACG00000017532,937,732,1266,1298
ENSGACG00000017551,0,2,2,4
ENSGACG00000021279,0,0,0,0
ENSGACG00000017554,1007,817,1685,1856
ENSGACG00000017557,7028,6520,16294,16116
ENSGACG00000017563,32,30,42,63
ENSGACG00000017564,534,294,792,648
ENSGACG00000017567,103,90,170,192
ENSGACG00000017569,843,698,1180,1434
ENSGACG00000017574,1107,326,898,802
ENSGACG00000017576,218,52,193,188
ENSGACG00000017578,517,491,1050,1470
ENSGACG00000017580,643,517,691,874
ENSGACG00000017583,1798,1386,2220,2680
ENSGACG00000017592,1729,1503,2734,2888
ENSGACG00000017599,3574,2974,5162,5590
ENSGACG00000021291,0,0,0,0
ENSGACG00000017605,7570,6949,12759,13089
ENSGACG00000017618,2,6,4,7
ENSGACG00000017621,2295,1574,2761,4626
ENSGACG00000017628,6,4,3,0
ENSGACG00000017632,577,499,829,853
ENSGACG00000017637,355,441,911,594
ENSGACG00000017642,139,122,143,228
ENSGACG00000017643,2052,1840,3079,3275
ENSGACG00000017664,116,78,14,68
ENSGACG00000017666,456,330,481,570
ENSGACG00000017669,4947,3420,4676,4340
ENSGACG00000017671,2718,1945,4195,4654
ENSGACG00000017676,4907,4363,7053,4903
ENSGACG00000017677,2268,1944,3767,3344
ENSGACG00000017681,99,30,619,610
ENSGACG00000017686,84,105,92,137
ENSGACG00000017689,3099,4458,4825,3956
ENSGACG00000017692,2,2,0,3
ENSGACG00000017694,175,151,213,336
ENSGACG00000017697,4542,3840,7320,10577
ENSGACG00000017702,122455,133382,272543,222071
ENSGACG00000017706,2130,1485,2553,3010
ENSGACG00000017715,854,655,1161,1001
ENSGACG00000017717,9,11,15,6
ENSGACG00000017720,223,134,121,159
ENSGACG00000017723,21,16,14,18
ENSGACG00000017726,591,557,764,754
ENSGACG00000017728,828,683,1078,1006
ENSGACG00000017733,492,272,473,621
ENSGACG00000017735,0,0,0,0
ENSGACG00000017740,630,503,884,1008
ENSGACG00000017741,1594,1414,2032,2322
ENSGACG00000017743,1895,1925,2852,4274
ENSGACG00000017755,46487,32769,69433,79892
ENSGACG00000017764,547,685,1411,1469
ENSGACG00000017769,2630,1976,4255,4326
ENSGACG00000017773,2078,2108,5360,4676
ENSGACG00000017785,149,125,248,261
ENSGACG00000017788,34,11,30,7
ENSGACG00000017801,6583,4434,9227,10655
ENSGACG00000017810,3471,2625,4056,4868
ENSGACG00000017819,2304,2328,3874,4011
ENSGACG00000017823,2696,2377,5322,5346
ENSGACG00000017825,456,397,736,822
ENSGACG00000017830,624,474,937,1022
ENSGACG00000017832,1098,947,1562,1552
ENSGACG00000017836,5,22,0,47
ENSGACG00000017837,1470,1512,2176,1770
ENSGACG00000017843,0,6,0,2
ENSGACG00000017844,131,91,264,336
ENSGACG00000017846,559,442,906,951
ENSGACG00000017848,7,7,2,2
ENSGACG00000017849,0,9,15,21
ENSGACG00000017851,14,15,10,49
ENSGACG00000017856,16,5,15,42
ENSGACG00000017863,19,14,706,97
ENSGACG00000017865,961,933,1414,1405
ENSGACG00000017866,207,183,357,303
ENSGACG00000017868,2200,2274,4729,5193
ENSGACG00000017869,927,804,1322,1649
ENSGACG00000017871,18,27,78,59
ENSGACG00000017874,96,81,146,136
ENSGACG00000022555,5,3,0,2
ENSGACG00000017877,974,815,1453,1494
ENSGACG00000017880,6,2,9,6
ENSGACG00000017881,59,40,33,78
ENSGACG00000017882,2,2,3,1
