,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000022180,35,39,58,41
ENSGACG00000022196,11,15,24,37
ENSGACG00000009805,0,0,3,0
ENSGACG00000009806,42,24,98,144
ENSGACG00000009813,839,817,2242,1773
ENSGACG00000009831,324,193,814,632
ENSGACG00000009836,4,0,4,4
ENSGACG00000009837,0,0,0,0
ENSGACG00000009842,6,2,8,7
ENSGACG00000009843,4,3,10,4
ENSGACG00000009844,165,209,380,673
ENSGACG00000009866,0,3,16,25
ENSGACG00000009897,0,0,0,0
ENSGACG00000022741,0,0,0,0
ENSGACG00000022842,0,0,1,0
ENSGACG00000022859,0,0,0,0
ENSGACG00000022817,24,21,31,44
ENSGACG00000009900,0,0,0,4
ENSGACG00000009903,9406,7503,14355,17276
ENSGACG00000022656,1,2,6,2
ENSGACG00000022657,11,19,31,35
ENSGACG00000009911,9168,8001,17280,18405
ENSGACG00000009922,13,9,11,37
ENSGACG00000009938,1485,976,1835,2320
ENSGACG00000009953,465,393,754,817
ENSGACG00000009961,16,4,10,30
ENSGACG00000009964,207143,303175,559512,390360
ENSGACG00000010076,38,55,153,85
ENSGACG00000010078,475,547,583,895
ENSGACG00000010101,514,604,642,921
ENSGACG00000010102,8,7,13,24
ENSGACG00000010118,10,5,0,7
ENSGACG00000010123,112,78,127,205
ENSGACG00000010150,9,4,0,5
ENSGACG00000010153,119,38,72,82
ENSGACG00000010158,136,133,215,173
ENSGACG00000010164,167,137,155,221
ENSGACG00000010172,1747,1342,2601,3121
ENSGACG00000010181,6912,4771,9682,10534
ENSGACG00000010190,92,91,112,183
ENSGACG00000010196,1,10,23,27
ENSGACG00000010216,2117,1914,3807,4133
ENSGACG00000010256,2030,1658,3406,3971
ENSGACG00000010262,5,0,10,10
ENSGACG00000010273,163,140,122,153
ENSGACG00000010283,2081,1904,4169,3458
ENSGACG00000010294,1853,1270,2640,2185
ENSGACG00000010298,0,2,2,2
ENSGACG00000010303,63,32,68,91
ENSGACG00000010308,11,11,6,31
ENSGACG00000010310,21445,25857,45710,49435
ENSGACG00000010324,1137,1211,1881,2569
ENSGACG00000010359,3,4,4,7
ENSGACG00000010366,352,306,544,740
ENSGACG00000010370,4586,3578,7593,7371
ENSGACG00000010405,75,68,136,95
ENSGACG00000010436,49,80,325,267
ENSGACG00000010457,19171,21870,43878,32586
ENSGACG00000010460,266,189,332,592
ENSGACG00000010473,4168,3112,2748,2705
ENSGACG00000010477,1,6,4,10
ENSGACG00000010479,15,11,13,3
ENSGACG00000010484,7,0,11,15
ENSGACG00000010490,1649,1636,3308,2995
ENSGACG00000010495,58,91,127,139
ENSGACG00000010505,48,20,18,47
ENSGACG00000010506,29,20,43,45
ENSGACG00000010511,842,736,1043,1362
ENSGACG00000010520,211,148,321,360
ENSGACG00000010523,948,756,1751,1192
ENSGACG00000010525,2184,1892,4026,4068
ENSGACG00000022263,18,15,25,34
ENSGACG00000022179,4,6,2,4
ENSGACG00000010554,376,261,430,512
ENSGACG00000010564,13,17,35,55
ENSGACG00000010636,0,0,5,3
ENSGACG00000010644,330,248,529,600
ENSGACG00000010685,667,566,717,1196
ENSGACG00000010687,139,144,186,220
ENSGACG00000010694,191,120,157,104
ENSGACG00000010696,2,6,0,6
ENSGACG00000010703,1190,842,1327,1625
ENSGACG00000010714,171,173,284,365
ENSGACG00000010722,2467,2120,4724,4258
ENSGACG00000010743,1538,1383,2778,2518
ENSGACG00000010747,700,569,1154,1122
ENSGACG00000010752,29645,26542,44048,37951
ENSGACG00000010770,348,249,589,530
ENSGACG00000010783,50,27,0,11
ENSGACG00000010788,322,146,231,160
ENSGACG00000010800,1948,1734,4014,3681
ENSGACG00000010810,514,338,702,743
ENSGACG00000010838,586,451,903,1084
ENSGACG00000010842,140,76,216,168
ENSGACG00000010849,430,270,726,702
ENSGACG00000010851,4930,4337,8607,10733
ENSGACG00000010877,3,4,2,1
ENSGACG00000010885,2066,2218,4505,4333
ENSGACG00000010890,751,513,1012,900
ENSGACG00000010902,3823,2180,6560,5243
ENSGACG00000010906,4884,4435,9810,8612
ENSGACG00000010925,130,118,197,197
ENSGACG00000010929,1325,1196,2016,1572
ENSGACG00000010943,9,5,17,26
ENSGACG00000010945,96,120,122,182
ENSGACG00000010990,633,701,828,1125
ENSGACG00000011000,5,2,11,0
ENSGACG00000011005,0,0,0,0
ENSGACG00000021334,0,0,0,0
ENSGACG00000011007,72,43,88,72
ENSGACG00000011016,488,291,691,778
ENSGACG00000022307,3,0,1,1
ENSGACG00000021505,16,14,16,29
ENSGACG00000021506,1,6,0,6
ENSGACG00000011017,2771,2967,5530,5218
ENSGACG00000011023,461,414,879,966
ENSGACG00000011025,4445,4043,7755,7991
ENSGACG00000011031,87,142,174,185
ENSGACG00000011033,55,55,91,59
ENSGACG00000011034,73,75,70,73
ENSGACG00000011044,2269,2008,2987,3103
ENSGACG00000011047,419,430,671,1185
ENSGACG00000011057,29,22,31,42
ENSGACG00000011061,90,95,104,74
ENSGACG00000011084,51,38,67,115
ENSGACG00000011086,181,174,189,256
ENSGACG00000011089,814,667,1402,1253
ENSGACG00000011124,2,2,4,19
ENSGACG00000011128,352,337,648,722
ENSGACG00000011135,166,275,288,367
ENSGACG00000011137,386,152,518,889
ENSGACG00000011139,6966,5299,10331,10740
ENSGACG00000011148,0,0,0,0
ENSGACG00000011149,3,1,0,6
ENSGACG00000011155,4997,4641,9847,7177
ENSGACG00000011160,65,32,156,152
ENSGACG00000011163,175,126,278,168
ENSGACG00000011168,195,227,299,438
ENSGACG00000011178,1600,1184,1914,2011
ENSGACG00000011186,451,280,463,634
ENSGACG00000011187,155,75,130,215
ENSGACG00000011193,171,178,321,352
ENSGACG00000011194,16,12,4,10
ENSGACG00000011204,11,9,18,3
ENSGACG00000011209,43,38,109,83
ENSGACG00000011217,1925,1566,2550,3396
ENSGACG00000011240,565,572,915,1004
ENSGACG00000011244,138,79,146,221
ENSGACG00000011252,438,295,370,395
ENSGACG00000011257,180,127,170,249
ENSGACG00000011260,1563,1289,2317,2411
ENSGACG00000011282,377,296,440,551
ENSGACG00000011283,55,33,23,23
ENSGACG00000011296,10,26,26,47
ENSGACG00000011302,247,254,581,708
ENSGACG00000011306,3,1,1,8
ENSGACG00000011309,6,0,5,22
ENSGACG00000011331,12,0,28,29
ENSGACG00000011338,171,187,333,401
ENSGACG00000011345,982,822,1688,1622
ENSGACG00000011349,65,17,25,82
ENSGACG00000011353,2225,2215,4772,4529
ENSGACG00000011358,36,35,28,52
ENSGACG00000011366,1387,1148,3024,2134
ENSGACG00000011378,5467,5196,9414,10060
ENSGACG00000011384,198,175,238,457
ENSGACG00000011406,0,0,0,0
ENSGACG00000011410,445,379,1106,973
ENSGACG00000011442,4,0,0,6
ENSGACG00000011450,928,853,927,576
ENSGACG00000011453,193,158,122,173
ENSGACG00000011456,15021,14255,33088,34694
ENSGACG00000011477,218,172,164,231
ENSGACG00000011479,236,211,371,332
ENSGACG00000011485,5,0,0,2
ENSGACG00000011502,269,214,281,269
ENSGACG00000011509,13,7,4,23
ENSGACG00000011519,1,0,0,10
ENSGACG00000011524,7810,6381,12797,12496
ENSGACG00000011552,1536,1107,2168,2368
ENSGACG00000011587,1587,1018,2080,3557
ENSGACG00000011595,2389,1672,2573,2570
ENSGACG00000011605,0,2,2,7
ENSGACG00000011615,8026,5960,11020,12861
ENSGACG00000011626,441,378,557,654
ENSGACG00000011630,1895,1771,3478,3418
ENSGACG00000022601,9,6,2,8
ENSGACG00000011642,622,496,1036,832
ENSGACG00000011650,14015,14250,22835,23275
ENSGACG00000011678,3572,3787,7955,6934
ENSGACG00000021341,2,3,8,9
ENSGACG00000011691,135,131,326,236
ENSGACG00000011728,6,7,4,3
ENSGACG00000011730,746,736,1182,1440
ENSGACG00000011751,1459,1290,2447,2511
ENSGACG00000011765,318,304,320,308
ENSGACG00000011767,2322,1791,2129,4006
ENSGACG00000011772,600,548,1050,1007
ENSGACG00000011777,0,0,0,0
ENSGACG00000011781,5,21,79,60
ENSGACG00000011783,50,16,33,32
ENSGACG00000011799,15,18,37,27
ENSGACG00000011801,148,241,576,521
ENSGACG00000011802,1,0,4,0
ENSGACG00000011805,187,145,267,254
ENSGACG00000011807,6563,5948,10239,10235
ENSGACG00000011827,7070,8145,10445,8772
ENSGACG00000011828,1733,1543,2649,2616
ENSGACG00000011834,687,724,1233,1107
ENSGACG00000011868,1889,1481,2872,2404
ENSGACG00000011886,10929,9255,20232,20369
ENSGACG00000011910,10,22,30,32
ENSGACG00000011912,494,315,604,684
ENSGACG00000011924,714,595,832,766
ENSGACG00000011931,437,338,616,701
ENSGACG00000011945,783,546,874,841
ENSGACG00000011949,40,5,13,20
ENSGACG00000011967,70,34,81,63
ENSGACG00000011977,1233,654,334,614
ENSGACG00000011986,88,57,60,115
ENSGACG00000011994,281,277,422,611
ENSGACG00000022195,0,0,0,0
ENSGACG00000012014,742,714,1195,1282
ENSGACG00000012016,0,0,1,0
ENSGACG00000012020,18,19,25,51
ENSGACG00000012022,17,8,15,35
ENSGACG00000012046,19,10,9,9
ENSGACG00000012050,0,0,0,0
ENSGACG00000012054,0,0,0,4
ENSGACG00000012057,4,5,36,68
ENSGACG00000012061,4992,3892,6362,7355
ENSGACG00000012076,20,23,24,35
ENSGACG00000012081,285,166,231,296
ENSGACG00000012087,3996,4174,6025,7417
ENSGACG00000012091,46,50,43,98
ENSGACG00000012097,0,3,8,21
ENSGACG00000012119,90,73,170,132
ENSGACG00000012123,2626,2134,3196,3536
ENSGACG00000012127,1701,1488,2543,2992
ENSGACG00000012146,32,40,41,52
ENSGACG00000012157,228,223,283,389
ENSGACG00000012163,1929,1599,3215,2960
ENSGACG00000012170,1540,1388,2731,2193
ENSGACG00000012172,7,1,0,1
ENSGACG00000012179,210,293,417,369
ENSGACG00000012184,30,26,60,13
ENSGACG00000012198,20,33,50,24
ENSGACG00000012202,2647,2511,5449,4720
ENSGACG00000012208,38,23,53,70
ENSGACG00000012210,30,28,55,50
ENSGACG00000012214,1569,1333,2411,2622
ENSGACG00000012228,122,110,141,64
ENSGACG00000012237,7075,7049,11822,9936
ENSGACG00000012263,2561,2306,5079,4970
ENSGACG00000012307,536,521,1163,988
ENSGACG00000012309,1338,934,1879,2510
ENSGACG00000012314,3807,4840,9931,9553
ENSGACG00000012353,0,5,7,12
ENSGACG00000012359,2239,1482,2824,2958
ENSGACG00000012362,567,401,845,2142
ENSGACG00000012365,192,167,270,341
ENSGACG00000012372,476,505,1091,1363
ENSGACG00000012378,4,7,8,2
ENSGACG00000012384,36,27,30,50
ENSGACG00000012391,2975,2378,4048,4915
ENSGACG00000012425,1090,1179,1628,3672
ENSGACG00000012433,299,436,424,1126
ENSGACG00000012439,922,657,1418,1063
ENSGACG00000012448,1200,1017,1379,1999
ENSGACG00000012480,832,1532,3538,8654
ENSGACG00000012498,0,0,0,0
ENSGACG00000021294,0,0,0,0
ENSGACG00000012510,2378,2003,3926,3928
ENSGACG00000012521,567,462,771,740
ENSGACG00000012557,0,0,5,14
ENSGACG00000012562,8,3,15,31
ENSGACG00000012566,10,0,16,32
ENSGACG00000021781,0,0,0,0
ENSGACG00000021196,0,0,0,0
ENSGACG00000021776,0,0,0,0
ENSGACG00000022045,0,0,0,0
ENSGACG00000021648,0,0,0,0
ENSGACG00000021569,0,0,0,0
ENSGACG00000021932,0,0,0,0
ENSGACG00000021129,0,0,0,0
ENSGACG00000021691,0,0,0,0
ENSGACG00000021962,0,0,0,0
ENSGACG00000021054,0,0,0,0
ENSGACG00000021794,0,0,0,0
ENSGACG00000021749,0,0,0,0
ENSGACG00000021888,0,0,0,0
ENSGACG00000021944,0,0,0,0
ENSGACG00000022035,0,0,0,0
ENSGACG00000021106,0,0,0,0
ENSGACG00000022110,0,0,0,0
ENSGACG00000021886,0,0,0,0
ENSGACG00000021080,0,0,0,0
ENSGACG00000021045,0,0,0,0
ENSGACG00000021743,0,0,0,0
ENSGACG00000021635,0,0,0,0
ENSGACG00000020994,0,0,0,0
ENSGACG00000021168,0,0,0,0
ENSGACG00000021189,0,0,0,0
ENSGACG00000021652,0,0,0,0
ENSGACG00000021160,0,0,0,0
ENSGACG00000020983,0,0,0,0
ENSGACG00000021731,0,0,0,0
ENSGACG00000022074,0,0,0,0
ENSGACG00000021959,0,0,0,0
ENSGACG00000022071,0,0,0,0
ENSGACG00000022015,0,0,0,0
ENSGACG00000020969,0,0,0,0
ENSGACG00000021720,0,0,0,0
ENSGACG00000021126,0,0,0,0
ENSGACG00000021871,0,0,0,0
ENSGACG00000021122,0,0,0,0
ENSGACG00000022022,0,0,0,0
ENSGACG00000022006,0,0,0,0
ENSGACG00000022674,0,0,0,0
ENSGACG00000021000,0,0,0,0
ENSGACG00000021820,0,0,0,0
ENSGACG00000021777,0,0,0,0
ENSGACG00000021600,0,0,0,0
ENSGACG00000021757,0,0,0,0
ENSGACG00000022107,0,0,0,0
ENSGACG00000020973,0,0,0,0
ENSGACG00000021625,0,0,0,0
ENSGACG00000012568,1,6,2,29
ENSGACG00000012572,0,0,0,0
ENSGACG00000012574,1,0,1,2
ENSGACG00000012633,1620,1254,2354,2657
ENSGACG00000012645,727,686,1127,1408
ENSGACG00000012654,0,0,0,0
ENSGACG00000012657,0,0,0,0
ENSGACG00000012662,431,826,1447,876
ENSGACG00000022435,0,0,0,0
ENSGACG00000022402,0,0,0,0
ENSGACG00000022374,0,0,0,0
ENSGACG00000022436,0,0,0,0
ENSGACG00000022421,0,0,0,0
ENSGACG00000022413,0,0,0,0
ENSGACG00000022331,0,0,0,0
ENSGACG00000022439,0,0,0,0
ENSGACG00000022351,0,0,0,0
ENSGACG00000022417,0,0,0,0
ENSGACG00000022394,0,0,0,0
ENSGACG00000022543,0,0,0,0
ENSGACG00000022371,0,0,0,0
ENSGACG00000022372,0,0,0,0
ENSGACG00000022365,0,0,0,0
ENSGACG00000022366,0,0,0,0
ENSGACG00000022342,0,0,0,0
ENSGACG00000022345,0,0,0,0
ENSGACG00000022443,0,0,0,0
ENSGACG00000022356,0,0,0,0
ENSGACG00000022424,0,0,0,0
ENSGACG00000022360,0,0,0,0
ENSGACG00000022373,0,0,0,0
ENSGACG00000022323,0,0,0,0
ENSGACG00000022445,0,0,0,0
ENSGACG00000022362,0,0,0,0
ENSGACG00000022326,0,0,0,0
ENSGACG00000022348,0,0,0,0
ENSGACG00000012673,5,7,15,6
ENSGACG00000012683,3033,3249,5357,4873
ENSGACG00000012700,10,10,9,21
ENSGACG00000012702,7,5,9,47
ENSGACG00000012751,1574,1467,2519,2669
ENSGACG00000012777,206,96,140,66
ENSGACG00000012780,0,0,0,4
ENSGACG00000012784,496,477,1131,1054
ENSGACG00000012800,256,218,413,438
ENSGACG00000012816,20,11,27,26
ENSGACG00000012822,277,304,345,540
ENSGACG00000012830,19,15,8,30
ENSGACG00000012833,795,643,956,1151
ENSGACG00000012890,12,12,51,27
ENSGACG00000012937,177,78,178,203
ENSGACG00000012943,919,686,888,1237
ENSGACG00000012954,7,13,4,76
ENSGACG00000012997,22,9,56,17
ENSGACG00000013002,641,512,389,440
ENSGACG00000013007,1323,865,1529,1990
ENSGACG00000013014,672,584,1024,1148
ENSGACG00000013016,19,8,8,6
ENSGACG00000013018,38,74,13,41
ENSGACG00000013035,2954,4573,4619,6766
ENSGACG00000013073,92374,85581,186682,162623
ENSGACG00000022679,69,59,72,99
ENSGACG00000022900,71,77,130,100
ENSGACG00000013098,4166,4659,8113,9186
ENSGACG00000013103,24274,23801,47093,42120
ENSGACG00000013110,14,12,5,6
ENSGACG00000013117,3002,2033,5330,2731
ENSGACG00000013125,1693,1346,3213,1649
ENSGACG00000013127,866,490,1100,1402
ENSGACG00000013129,895,589,596,768
ENSGACG00000013130,2178,1167,2300,3008
ENSGACG00000022584,1215,1041,1691,1974
ENSGACG00000013136,105,112,143,153
ENSGACG00000013143,1459,1337,2959,3113
ENSGACG00000013153,24,17,12,34
ENSGACG00000013155,804,812,1990,2293
ENSGACG00000013164,5611,4835,9040,8829
ENSGACG00000013165,7650,6648,12583,13299
ENSGACG00000013173,1517,1315,2686,2759
ENSGACG00000013176,3183,3582,5882,5154
ENSGACG00000013198,816,674,1687,1506
ENSGACG00000013201,5211,3054,6382,7943
ENSGACG00000013204,353,255,444,607
ENSGACG00000013207,579,487,790,1136
ENSGACG00000013221,0,0,0,0
ENSGACG00000013224,46,29,44,98
ENSGACG00000013239,906,1182,2139,2300
ENSGACG00000013242,3211,2930,5524,6098
ENSGACG00000013243,798,983,1136,1651
ENSGACG00000013277,1192,974,1764,1862
ENSGACG00000013284,169,178,313,359
ENSGACG00000013289,8707,6487,12454,12729
ENSGACG00000013304,14256,15171,25154,22233
ENSGACG00000013312,964,944,1373,1449
ENSGACG00000013324,1372,1307,2721,2689
ENSGACG00000013335,93,69,132,197
ENSGACG00000013344,3000,2707,4969,4974
ENSGACG00000013354,458,376,678,750
ENSGACG00000013371,0,0,0,4
ENSGACG00000022823,0,0,0,0
ENSGACG00000001417,1783,1779,2601,2698
ENSGACG00000001422,3442,2215,3420,4292
ENSGACG00000001424,590,558,938,970
ENSGACG00000001427,1418,1613,2863,2776
ENSGACG00000001430,0,4,6,1
ENSGACG00000001431,3922,3864,7056,6571
ENSGACG00000001436,534,644,761,1162
ENSGACG00000001438,3967,2589,4473,5215
ENSGACG00000001446,1035,976,1329,1535
ENSGACG00000001450,101,115,122,93
ENSGACG00000001454,2830,2066,3724,4224
ENSGACG00000001455,2890,3058,3747,4771
ENSGACG00000001456,938,977,1350,1714
ENSGACG00000001457,725,671,1249,1131
ENSGACG00000001462,1,0,0,0
ENSGACG00000001463,1973,2041,4046,5207
ENSGACG00000001488,1162,650,1062,1317
ENSGACG00000001491,1415,1367,2751,3030
ENSGACG00000001508,0,0,0,0
ENSGACG00000001509,2553,1977,6346,7016
ENSGACG00000001512,9168,7526,15582,13378
ENSGACG00000001517,1039,799,1297,1145
ENSGACG00000001519,24869,25599,54925,52940
ENSGACG00000001530,4145,3830,6787,6790
ENSGACG00000001531,2194,357,1280,1109
ENSGACG00000001532,1148,915,1501,1583
ENSGACG00000001533,414,462,784,605
ENSGACG00000001535,84,105,111,214
ENSGACG00000001536,702,729,2518,1628
ENSGACG00000001537,0,4,4,3
ENSGACG00000001538,3865,3258,5666,6512
ENSGACG00000001539,38,35,51,38
ENSGACG00000001542,286,167,407,480
ENSGACG00000001543,516,387,658,664
ENSGACG00000001545,0,0,0,1
ENSGACG00000001546,0,3,0,0
ENSGACG00000001547,22,30,50,47
ENSGACG00000001548,2084,1570,1977,3685
ENSGACG00000001549,21,24,99,72
ENSGACG00000001550,508,353,595,767
ENSGACG00000001551,5620,3096,5484,6670
ENSGACG00000022685,12,4,10,7
ENSGACG00000001556,7,17,0,5
ENSGACG00000001559,268,133,293,428
ENSGACG00000001563,5422,3943,7395,8966
ENSGACG00000022715,10,0,4,3
ENSGACG00000001577,35882,34994,69301,61624
ENSGACG00000001590,29,19,162,20
ENSGACG00000001595,34,18,31,24
ENSGACG00000001602,4525,3992,7227,6741
ENSGACG00000001607,60,30,78,83
ENSGACG00000001609,1193,1007,1371,2233
ENSGACG00000001620,10576,10864,18564,20834
ENSGACG00000001638,60,53,177,182
ENSGACG00000001640,113,132,311,317
ENSGACG00000001659,710,553,1190,1373
ENSGACG00000001661,762,614,981,1056
ENSGACG00000001664,84,97,176,208
ENSGACG00000001668,46,55,60,55
ENSGACG00000001676,2571,2356,4738,5017
ENSGACG00000001680,531,413,680,608
ENSGACG00000001684,5370,5383,9551,9794
ENSGACG00000001696,1122,1125,1740,1953
ENSGACG00000001701,19,17,16,20
ENSGACG00000001702,44,29,44,74
ENSGACG00000001719,213,157,336,389
ENSGACG00000001725,43,14,46,52
ENSGACG00000001734,77,50,87,99
ENSGACG00000001735,24,6,14,21
ENSGACG00000001743,2,13,4,6
ENSGACG00000001746,6474,5634,10094,10051
ENSGACG00000001792,630,575,981,975
ENSGACG00000001800,1224,931,1906,1716
ENSGACG00000001804,10233,5246,10685,11543
ENSGACG00000001813,6320,3300,6736,7095
ENSGACG00000001816,437,133,514,601
ENSGACG00000001829,39,37,59,34
ENSGACG00000001830,387,429,592,575
ENSGACG00000001846,4562,3534,6505,6598
ENSGACG00000001873,881,809,1479,1641
ENSGACG00000001878,1084,822,1440,1673
ENSGACG00000001883,557,561,1029,865
ENSGACG00000001885,58,58,106,121
ENSGACG00000001886,1569,1270,2302,2702
ENSGACG00000001892,1414,1324,3683,1990
ENSGACG00000001893,2753,3484,5814,5508
ENSGACG00000001895,533,623,935,625
ENSGACG00000001896,322,347,524,549
ENSGACG00000001900,4,2,3,2
ENSGACG00000001901,2,0,0,2
ENSGACG00000001904,1646,1578,3399,3009
ENSGACG00000001926,129,107,166,245
ENSGACG00000001943,365,465,161,320
ENSGACG00000001948,2,22,9,17
ENSGACG00000001955,2602,2005,3596,3593
ENSGACG00000001972,6,2,7,30
ENSGACG00000001975,1471,1132,1891,1939
ENSGACG00000001985,1107,870,1546,1544
ENSGACG00000001998,14,12,1,14
ENSGACG00000001999,1021,967,1321,1373
ENSGACG00000002007,455,429,677,543
ENSGACG00000002009,68,95,132,90
ENSGACG00000002011,184,164,222,300
ENSGACG00000002015,2411,1960,3398,3397
ENSGACG00000002025,2271,1935,2932,3226
ENSGACG00000002035,135517,138943,260913,217580
ENSGACG00000002051,2976,3283,4946,6851
ENSGACG00000002059,14,13,14,12
ENSGACG00000002064,1,1,16,20
ENSGACG00000002065,922,788,1493,1667
ENSGACG00000002071,3574,2736,5530,5852
ENSGACG00000002075,28,27,44,69
ENSGACG00000002079,2,0,4,4
ENSGACG00000002091,656,495,809,840
ENSGACG00000002107,1168,750,1750,1563
ENSGACG00000002110,139,79,225,213
ENSGACG00000002111,0,2,3,6
ENSGACG00000002113,678,709,1243,1339
ENSGACG00000002122,142,99,329,262
ENSGACG00000002124,78,90,101,135
ENSGACG00000022534,3,2,0,5
ENSGACG00000002127,0,0,0,0
ENSGACG00000002130,631,665,1007,1164
ENSGACG00000002141,7,13,2,14
ENSGACG00000002144,186,149,249,300
ENSGACG00000002149,86,42,186,106
ENSGACG00000002152,0,0,0,0
ENSGACG00000002153,14,22,52,54
ENSGACG00000022410,8,10,23,6
ENSGACG00000002161,0,0,0,4
ENSGACG00000002168,369,428,834,666
ENSGACG00000002172,0,0,0,5
ENSGACG00000002186,2010,1740,3108,2862
ENSGACG00000002188,8,12,0,6
ENSGACG00000002191,108,162,82,110
ENSGACG00000002196,688,659,1133,1147
ENSGACG00000002200,1347,994,2919,1846
ENSGACG00000002202,70,24,15,4
ENSGACG00000002206,0,0,0,0
ENSGACG00000002209,0,0,2,0
ENSGACG00000002211,0,0,0,0
ENSGACG00000002212,0,0,0,0
ENSGACG00000002214,0,0,0,0
ENSGACG00000002215,0,0,0,1
ENSGACG00000002216,378,282,589,561
ENSGACG00000002220,136,87,136,161
ENSGACG00000002222,486,463,867,860
ENSGACG00000002226,0,0,0,2
ENSGACG00000002227,3,2,0,1
ENSGACG00000002228,180,125,248,313
ENSGACG00000002232,14,11,5,8
ENSGACG00000021158,41,37,93,49
ENSGACG00000002238,226,175,370,174
ENSGACG00000021180,47,41,60,43
ENSGACG00000022013,29,40,69,40
ENSGACG00000002240,0,0,11,3
ENSGACG00000002251,1,0,0,0
ENSGACG00000002252,0,0,0,0
ENSGACG00000002254,0,0,0,0
ENSGACG00000002255,0,0,0,0
ENSGACG00000002259,0,0,0,0
ENSGACG00000002261,0,0,0,0
ENSGACG00000002264,0,0,0,0
ENSGACG00000002266,17,23,30,33
ENSGACG00000002269,522,405,626,1086
ENSGACG00000002287,2,4,14,11
ENSGACG00000002298,2174,2148,3762,3927
ENSGACG00000021409,0,0,0,0
ENSGACG00000002303,475,612,1896,1899
ENSGACG00000002306,588,1483,1635,1160
ENSGACG00000002308,805,795,1401,1184
ENSGACG00000002310,11,28,36,55
ENSGACG00000002314,81,67,96,199
ENSGACG00000002320,708,657,1135,1274
ENSGACG00000002328,5,4,24,36
ENSGACG00000002346,3,0,2,5
ENSGACG00000002348,0,0,0,4
ENSGACG00000002350,0,0,4,5
ENSGACG00000002353,4047,2281,4168,4222
ENSGACG00000002367,3359,1470,3288,3333
ENSGACG00000002376,15,17,44,34
ENSGACG00000002380,17,7,10,16
ENSGACG00000002384,240,282,462,776
ENSGACG00000002387,68,49,31,87
ENSGACG00000002393,2344,1979,4904,5236
ENSGACG00000002401,1184,1144,1586,2258
ENSGACG00000002409,1830,1542,1951,3788
ENSGACG00000002501,24,24,19,20
ENSGACG00000002506,24,6,8,15
ENSGACG00000002508,226,288,717,364
ENSGACG00000002511,188,219,241,588
ENSGACG00000002514,1153,714,1493,1594
ENSGACG00000002534,369,314,552,639
ENSGACG00000002540,119,105,132,247
ENSGACG00000002543,3214,2872,5753,4989
ENSGACG00000002557,1260,894,1691,1817
ENSGACG00000002567,166,147,283,373
ENSGACG00000002570,2020,1899,2877,2942
ENSGACG00000002592,110,45,396,306
ENSGACG00000002609,1677,1323,2755,2517
ENSGACG00000002627,4,2,10,2
ENSGACG00000002630,0,0,6,0
ENSGACG00000002634,720,714,1297,1300
ENSGACG00000002642,1186,1192,1949,2405
ENSGACG00000002645,170,126,272,389
ENSGACG00000002647,144,102,292,299
ENSGACG00000002648,370,290,622,507
ENSGACG00000002654,184,151,201,304
ENSGACG00000002657,608,417,792,945
ENSGACG00000002673,1330,1289,2747,2923
ENSGACG00000002684,2452,2366,3278,2815
ENSGACG00000002701,2,2,7,0
ENSGACG00000002705,1727,926,1782,2071
ENSGACG00000002712,789,521,970,1164
ENSGACG00000002715,482,262,560,731
ENSGACG00000002724,1361,1099,1652,1678
ENSGACG00000002733,388,266,1170,1020
ENSGACG00000002735,2652,2118,3649,4126
ENSGACG00000002751,213,158,345,268
ENSGACG00000002755,6,8,8,31
ENSGACG00000002758,21,24,39,4
ENSGACG00000002761,1,3,4,6
ENSGACG00000002763,91,127,176,196
ENSGACG00000002764,379,335,541,550
ENSGACG00000002766,1358,1170,2173,1588
ENSGACG00000002771,16,16,32,73
ENSGACG00000002774,4,8,38,51
ENSGACG00000002775,394,314,202,455
ENSGACG00000002780,758,757,1352,1707
ENSGACG00000002784,163,125,175,309
ENSGACG00000002786,0,0,0,0
ENSGACG00000002789,756,775,1468,1628
ENSGACG00000002796,2401,2448,5039,4459
ENSGACG00000002798,2654,1965,2880,3215
ENSGACG00000002800,38,38,65,93
ENSGACG00000002814,0,0,0,4
ENSGACG00000002817,48,29,81,51
ENSGACG00000002821,2309,2291,5069,4474
ENSGACG00000022301,1,1,0,7
ENSGACG00000021286,3,0,1,2
ENSGACG00000002825,829,863,2088,1947
ENSGACG00000002826,1114,1055,1798,1695
ENSGACG00000002834,423,364,575,768
ENSGACG00000002858,599,626,1265,1215
ENSGACG00000002866,1812,1572,3444,2634
ENSGACG00000002869,176,193,232,295
ENSGACG00000002882,13,33,33,29
ENSGACG00000002889,0,0,1,0
ENSGACG00000002891,167,120,222,342
ENSGACG00000002900,22,26,23,147
ENSGACG00000002904,421,266,798,751
ENSGACG00000002912,4067,3227,5759,7129
ENSGACG00000002917,1419,1053,2112,2262
ENSGACG00000002919,674,516,1031,1134
ENSGACG00000002921,488,458,880,1257
ENSGACG00000002929,1580,1340,2128,3373
ENSGACG00000002932,2727,2241,2900,2997
ENSGACG00000002945,409,271,702,726
ENSGACG00000002951,48,23,81,57
ENSGACG00000002959,30,18,63,51
ENSGACG00000002966,42,25,158,44
ENSGACG00000002970,0,0,0,14
ENSGACG00000002992,0,0,0,0
ENSGACG00000002996,0,0,0,6
ENSGACG00000003001,293,231,460,488
ENSGACG00000003005,220,151,234,206
